Barramento,Nivel_Hierarquico
bt63251,391
bt44391,391
uc1607326,391
11cf1908,391
818971,391
et11_4675,391
23091,392
758661,392
28701,392
28761,392
61191,392
bt44361,392
uc1607318,392
bt63271,392
bt63261,392
uc1607328,392
bt63231,392
815031,392
11cs1941,392
23101,393
758671,393
28711,393
28771,393
22021,393
bt44341,393
uc1607316,393
bt63281,393
bt63241,393
815041,393
818981,393
23111,394
758681,394
28721,394
28781,394
22011,394
bt44351,394
bt623101,394
815051,394
818931,394
23121,395
758691,395
806251,395
28791,395
22001,395
uc1607319,395
uc1626487,395
815061,395
818921,395
et6_1048,396
758701,396
28731,396
28801,396
21991,396
815071,396
818911,396
uc606111,397
758711,397
28741,397
28811,397
21981,397
815081,397
818901,397
758721,398
et6_6273,398
10731,398
21971,398
815091,398
818891,398
758731,399
bt619031,399
uc606123,399
uc637576,399
10741,399
21951,399
815101,399
818881,399
758741,400
bt619041,400
10751,400
61341,400
21941,400
815111,400
818871,400
758751,401
bt806261,401
10761,401
22931,401
21921,401
et11_131,401
et11_6443,401
818861,401
758761,402
uc623427,402
10771,402
11cf184,402
21911,402
bt21921,402
bt21951,402
818851,402
758771,403
10781,403
61351,403
21901,403
bt21931,403
bt21911,403
bt21961,403
bt61341,403
818841,403
758781,404
10791,404
61361,404
21891,404
uc1107340,404
uc1134165,404
bt21901,404
uc1132015,404
bt61351,404
818831,404
758791,405
mrt_10791trf_6_1260a,405
61371,405
21881,405
bt61361,405
818821,405
758801,406
et6_1260,406
42431,406
mrt_21881trf_11_4955a,406
21871,406
bt61371,406
uc1107330,406
818811,406
799921,407
758811,407
uc606124,407
42441,407
722851,407
et11_4955,407
21861,407
bt61381,407
818801,407
6cf1831,408
758821,408
42451,408
mrt_722851trf_11_4785a,408
bt21891,408
uc1107341,408
