PAC,long,lat
818291,-53.68354082694759,-27.57654707009118
818281,-53.68316963357171,-27.575926845447498
818271,-53.682867802207284,-27.575235988949714
818261,-53.682386741355,-27.574660560436485
818251,-53.681721366247984,-27.574266157357215
818241,-53.68101698034934,-27.57386194896975
818231,-53.68024475049481,-27.573652842204865
818221,-53.679445622817184,-27.573507495574404
818211,-53.67893973887783,-27.57338851346907
818201,-53.67809211615821,-27.57312644652825
818171,-53.67762743645699,-27.572473723983137
818161,-53.67749975071291,-27.572018798328827
818191,-53.67750358542207,-27.572036209203645
818501,-53.68378143786305,-27.587988456502046
818491,-53.68392922705215,-27.587562549272207
818641,-53.684019317537434,-27.58700441112461
818471,-53.68402631336363,-27.586298293131676
818461,-53.68392549126838,-27.58588396197524
818451,-53.68394508839509,-27.585441497327167
818441,-53.683910569717,-27.584689628123783
818431,-53.6838782867535,-27.583967128080474
818421,-53.68390675029627,-27.583236053900748
818411,-53.68398912729634,-27.582855981518264
818401,-53.68401139720817,-27.582315394539762
818391,-53.68397332261071,-27.581932870605442
818381,-53.68396489776177,-27.581541291397457
818371,-53.683951777552466,-27.58109828715618
818361,-53.68400157211482,-27.58036165786416
818351,-53.68410701852406,-27.57956945946296
818341,-53.68406629542318,-27.579207014691917
818661,-53.684876467674826,-27.594618479858923
818631,-53.684075370481935,-27.594581652621116
818481,-53.684019406570314,-27.586957783075206
818651,-53.68401895690931,-27.586972985215027
818621,-53.683260872491246,-27.594522705658278
818611,-53.68309825977684,-27.593796139779954
818601,-53.682952356466046,-27.59299472782436
818591,-53.68294039638215,-27.59234166623486
818581,-53.68294882932497,-27.591669443689852
818571,-53.6830452276551,-27.590995881154925
818561,-53.68319321199709,-27.590573580206524
818551,-53.68328434749458,-27.590187022812813
818541,-53.68339435076865,-27.589789365087086
818531,-53.68347992755656,-27.589403276240148
818521,-53.68368771321735,-27.589020868318357
818511,-53.68369904197715,-27.588500883908637
818831,-53.68484612364966,-27.604133982497274
818821,-53.68464115556486,-27.60392268228594
818811,-53.684260593951194,-27.603371397871683
818801,-53.68390742029118,-27.60259330713535
818791,-53.68348040599591,-27.602026317860236
818781,-53.683028013731814,-27.601406858539633
818771,-53.68281348585367,-27.600906760838313
818761,-53.682900409826004,-27.60017672267759
818751,-53.68306667288863,-27.59948177966038
818741,-53.683134283020706,-27.59875716800883
818731,-53.68301516331911,-27.59801216872654
818721,-53.68336669211908,-27.597489663517138
818711,-53.6840294582928,-27.597018788386322
818701,-53.68435816859454,-27.59677767205187
818691,-53.68473643783631,-27.596525762054227
818681,-53.68498108131183,-27.5960848073679
818671,-53.68492189423,-27.595347761689823
815671,-53.704901943270045,-27.51886002057347
819001,-53.70487785043241,-27.51886381031653
818931,-53.68723430751726,-27.610465343700582
818981,-53.68722846642055,-27.610490349350073
818951,-53.686730231215165,-27.61176764476096
818941,-53.68742918880599,-27.611428222634345
818971,-53.68722098406113,-27.610525265528565
818921,-53.687355993883955,-27.609795467486776
818911,-53.68761006765044,-27.609188498850074
818901,-53.68770057811912,-27.608419956215982
818891,-53.68746157339285,-27.607711209504657
818881,-53.68687121523436,-27.607167247370512
818871,-53.68637160496553,-27.606565135972176
818861,-53.68595666856538,-27.60591744513397
818851,-53.685647630034055,-27.60523901187088
818841,-53.68530708195624,-27.604771583841455
820481,-53.59500178100734,-27.75748540023102
820471,-53.595712988263756,-27.757393369008753
820461,-53.596591118685126,-27.757356300752633
820451,-53.597417119004774,-27.757297923060662
820441,-53.598004924887334,-27.75675634323062
820431,-53.59866577820304,-27.75616145428762
820421,-53.599274522101496,-27.755573660995594
820411,-53.59979043438102,-27.754903613011265
820401,-53.60037968547408,-27.75429840704578
820391,-53.600967189184416,-27.75369251040098
820651,-53.57994623153331,-27.758391124550712
820641,-53.57940857544537,-27.758540891349014
820631,-53.57864709788521,-27.758710386575046
820621,-53.578130510214805,-27.758815645025948
820611,-53.57806824205568,-27.760008449130567
820601,-53.58146893304479,-27.758298873893864
820591,-53.581955915033404,-27.758378556525145
820581,-53.58246258677889,-27.75848457580247
820571,-53.582980068375434,-27.758515775982232
820561,-53.584647729808864,-27.758888256287946
820551,-53.58540382222856,-27.759200993730815
820542,-53.58642256165183,-27.759053090327825
820531,-53.59080154415591,-27.75772065478435
820521,-53.591571448363595,-27.757704323995313
820511,-53.5924496813077,-27.757649958179
820501,-53.59334021517873,-27.75756693546566
820491,-53.59424647909168,-27.757540000770348
820751,-53.57822104316659,-27.75949678075176
820741,-53.588276414225106,-27.758374094089106
820731,-53.58380977570056,-27.75864345003515
820721,-53.58720187096952,-27.758713607047298
820711,-53.588276414225106,-27.758374094089106
820701,-53.58914119151274,-27.758286528000838
820691,-53.58996569086389,-27.75804858627322
820681,-53.59803044674766,-27.75673179173873
820671,-53.58097075269802,-27.758225984741387
820661,-53.58049149408714,-27.758267234844993
822371,-53.56881662388804,-27.837234520156926
822381,-53.56920652136381,-27.83748214038843
822391,-53.56917655415464,-27.837460819261366
822551,-53.60148543430529,-27.836905915975194
822541,-53.601891122976895,-27.837530361137226
822531,-53.60253283602151,-27.837287304065796
822521,-53.60316672766231,-27.837046710237416
822511,-53.6037928968247,-27.836809633657595
822501,-53.60433827449174,-27.837309155792866
822491,-53.604206822386914,-27.838021253378088
822481,-53.604042593590805,-27.83891080429015
